date,time,white_player,black_player,result,rated,time_class
2024-03-09,18:01:51,MrChessSponge,Hikaru,lost,True,bullet
2024-03-09,18:04:28,Capablanca_Oujda_2021,Hikaru,lost,True,bullet
2024-03-09,18:06:14,Philippians46,Hikaru,lost,True,bullet
2024-03-09,18:07:48,platy3,Hikaru,lost,True,bullet
2024-03-09,18:13:00,chess_blitz00,Hikaru,lost,True,bullet
2024-03-09,18:18:18,Oleksandr_Bortnyk,Hikaru,draw,True,bullet
2024-03-09,18:22:57,Juicy_Fork,Hikaru,lost,True,bullet
2024-03-09,18:25:54,Chessmissile07,Hikaru,won,True,bullet
2024-03-09,18:30:11,kleinebeer98,Hikaru,lost,True,bullet
2024-03-09,18:32:29,Zhigalko_Sergei,Hikaru,lost,True,bullet
2024-03-09,18:37:13,Veleamater,Hikaru,lost,True,bullet
2024-03-09,18:41:24,ElDivis,Hikaru,lost,True,bullet
2024-03-09,18:44:54,Philippians46,Hikaru,lost,True,bullet
2024-03-09,18:48:13,chess_blitz00,Hikaru,lost,True,bullet
2024-03-09,18:51:20,Silent-Killer100,Hikaru,lost,True,bullet
2024-03-09,18:54:46,Juicy_Fork,Hikaru,lost,True,bullet
2024-03-09,18:58:26,TanitoluwaAps116,Hikaru,won,True,bullet
2024-03-09,19:01:17,PursuitOfHappyness2,Hikaru,lost,True,bullet
2024-03-09,19:03:08,SchmakAttack,Hikaru,lost,True,bullet
2024-03-09,19:04:40,PursuitOfHappyness2,Hikaru,won,True,bullet
2024-03-09,19:09:23,Abund,Hikaru,lost,True,bullet
2024-03-09,19:10:53,Oleksandr_Bortnyk,Hikaru,lost,True,bullet
2024-03-09,19:13:17,GodDanielM,Hikaru,lost,True,bullet
2024-03-09,19:14:20,Flawless_Fighter,Hikaru,lost,True,bullet
2024-03-09,19:19:10,DanielNaroditsky,Hikaru,lost,True,bullet
2024-03-09,19:21:52,GMSrinath,Hikaru,lost,True,bullet
2024-03-09,19:22:38,Mesa_1,Hikaru,lost,True,bullet
2024-03-09,19:25:28,GodDanielM,Hikaru,lost,True,bullet
2024-03-09,19:28:24,ninguno46,Hikaru,lost,True,bullet
2024-03-09,19:31:05,db-banana,Hikaru,lost,True,bullet
2024-03-09,19:35:25,Witty_Alien,Hikaru,lost,True,bullet
2024-03-09,19:40:35,anasta10,Hikaru,lost,True,bullet
2024-03-09,19:42:08,LionTheLeon_06,Hikaru,lost,True,bullet
2024-03-09,19:45:11,matagordo,Hikaru,lost,True,bullet
2024-03-09,19:48:04,aa175,Hikaru,won,True,bullet
2024-03-09,19:51:22,Ron_Weasley_Chess,Hikaru,lost,True,bullet
2024-03-09,19:54:06,LileKoridze,Hikaru,lost,True,bullet
2024-03-09,19:58:58,anasta10,Hikaru,lost,True,bullet
2024-03-09,20:05:08,WK_WillianHille,Hikaru,lost,True,bullet
2024-03-09,20:09:13,WK_WillianHille,Hikaru,lost,True,bullet
2024-03-09,20:12:39,WK_WillianHille,Hikaru,lost,True,bullet
2024-03-09,20:15:22,WK_WillianHille,Hikaru,lost,True,bullet
2024-03-09,20:18:34,WK_WillianHille,Hikaru,lost,True,bullet
