time_control,end_time,rated,time_class,white_username,white_rating,white_result,black_username,black_rating,black_result,black_accuracy,white_accuracy
180,2024-01-01,True,blitz,Hikaru,3236,win,Gravity_Chess,2867,resigned,85.17,89.42
180,2024-01-01,True,blitz,Gravity_Chess,2865,resigned,Hikaru,3238,win,91.67,85.36
180+1,2024-01-02,True,blitz,GiorgianBarbosa,2531,timeout,Hikaru,3238,win,82.73,77.18
180+1,2024-01-02,True,blitz,Hikaru,3239,win,Witik,2675,resigned,74.93,80.48
180+1,2024-01-02,True,blitz,dretch,2797,timeout,Hikaru,3240,win,89.04,78.43
180+1,2024-01-02,True,blitz,Hikaru,3242,win,Zhigalko_Sergei,2906,timeout,88.17,89.46
180+1,2024-01-02,True,blitz,jefferyx,3046,win,Hikaru,3230,resigned,83.25,88.81
180+1,2024-01-02,True,blitz,Hikaru,3232,win,lilleper1,2885,resigned,84.83,90.94
180+1,2024-01-02,True,blitz,Hikaru,3235,win,GMBenjaminBok,2950,resigned,80.71,81.18
180+1,2024-01-02,True,blitz,GeorgMeier,3020,timeout,Hikaru,3239,win,94.6,92.38
180+1,2024-01-02,True,blitz,Hikaru,3236,repetition,Azerichess,3093,repetition,97.23,97.05
180+1,2024-01-02,True,blitz,frederiksvane,3044,insufficient,Hikaru,3232,insufficient,93.06,92.95
180+1,2024-01-02,True,blitz,Hikaru,3236,win,Bigfish1995,3030,checkmated,84.34,88.2
180,2024-01-02,True,blitz,Hikaru,3237,win,Martial2008,2730,resigned,76.99,96.77
180,2024-01-02,True,blitz,Martial2008,2729,resigned,Hikaru,3238,win,93.9,84.63
180,2024-01-02,True,blitz,Hikaru,3239,win,Martial2008,2728,resigned,80.3,86.43
180,2024-01-02,True,blitz,Martial2008,2727,resigned,Hikaru,3240,win,92.3,83.82
180,2024-01-02,True,blitz,Hikaru,3241,win,Martial2008,2726,checkmated,75.09,90.08
180,2024-01-02,True,blitz,Martial2008,2725,resigned,Hikaru,3242,win,92.51,86.16
180,2024-01-02,True,blitz,Hikaru,3243,win,Martial2008,2724,resigned,80.96,88.2
180,2024-01-02,True,blitz,Martial2008,2723,resigned,Hikaru,3244,win,89.73,81.5
180,2024-01-02,True,blitz,Hikaru,3245,win,Martial2008,2722,resigned,75.47,80.47
180,2024-01-02,True,blitz,Martial2008,2721,resigned,Hikaru,3246,win,88.12,80.0
180,2024-01-02,True,blitz,Hikaru,3247,win,Martial2008,2720,resigned,82.49,89.69
180,2024-01-02,True,blitz,Martial2008,2719,resigned,Hikaru,3248,win,89.51,79.07
180,2024-01-02,True,blitz,Hikaru,3249,win,Martial2008,2718,checkmated,78.52,90.84
180,2024-01-02,True,blitz,Martial2008,2717,resigned,Hikaru,3250,win,87.48,75.18
180,2024-01-02,True,blitz,Maitreia,2702,resigned,Hikaru,3251,win,85.33,78.94
180,2024-01-02,True,blitz,Hikaru,3252,win,Maitreia,2701,resigned,83.97,89.95
180,2024-01-02,True,blitz,Maitreia,2700,resigned,Hikaru,3253,win,88.26,80.76
180,2024-01-02,True,blitz,Hikaru,3254,win,Maitreia,2699,resigned,82.03,89.18
180,2024-01-02,True,blitz,Maitreia,2698,resigned,Hikaru,3255,win,90.08,85.18
180,2024-01-02,True,blitz,Hikaru,3256,win,Maitreia,2697,timeout,79.98,85.46
180,2024-01-02,True,blitz,Maitreia,2696,resigned,Hikaru,3257,win,89.97,74.2
180,2024-01-02,True,blitz,Hikaru,3258,win,Maitreia,2695,resigned,63.17,79.3
180,2024-01-02,True,blitz,Maitreia,2694,resigned,Hikaru,3259,win,88.76,80.09
180,2024-01-02,True,blitz,Hikaru,3260,win,Maitreia,2693,resigned,81.22,93.82
180,2024-01-02,True,blitz,Maitreia,2692,resigned,Hikaru,3261,win,89.01,84.12
180,2024-01-02,True,blitz,Hikaru,3262,win,Maitreia,2691,resigned,86.37,91.33
180,2024-01-02,True,blitz,Maitreia,2690,resigned,Hikaru,3263,win,90.93,83.76
180,2024-01-02,True,blitz,Hikaru,3264,win,Maitreia,2689,resigned,77.89,86.07
180,2024-01-02,True,blitz,Maitreia,2688,timeout,Hikaru,3265,win,86.83,84.83
180,2024-01-02,True,blitz,Hikaru,3266,win,Maitreia,2687,resigned,83.38,93.21
180,2024-01-02,True,blitz,Maitreia,2686,resigned,Hikaru,3267,win,94.29,87.09
180,2024-01-02,True,blitz,Hikaru,3268,win,Maitreia,2685,timeout,84.72,81.48
180,2024-01-02,True,blitz,Maitreia,2684,resigned,Hikaru,3269,win,94.41,77.25
180,2024-01-02,True,blitz,Hikaru,3270,win,Maitreia,2683,resigned,82.21,85.43
